;date;icms_sp;igp_m;ibc_br;dias_uteis;igp_m_22;ibc_br_22;igp_m_21;ibc_br_21;igp_m_20;ibc_br_20;igp_m_19;ibc_br_19;igp_m_18;ibc_br_18;igp_m_17;ibc_br_17;igp_m_16;ibc_br_16;igp_m_15;ibc_br_15;igp_m_14;ibc_br_14;igp_m_13;ibc_br_13;Licms_sp;DLicms_sp;D2igp_m;Dibc_br;D2igp_m_22;Dibc_br_22;D2igp_m_21;Dibc_br_21;D2igp_m_20;Dibc_br_20;D2igp_m_19;Dibc_br_19;D2igp_m_18;Dibc_br_18;D2igp_m_17;Dibc_br_17;D2igp_m_16;Dibc_br_16;D2igp_m_15;Dibc_br_15;D2igp_m_14;Dibc_br_14;D2igp_m_13;Dibc_br_13;22_forecast_uni_fixed;22_forecast_uni_var;22_forecast_uni_mean_var;22_forecast_multi_fixed;22_forecast_multi_var;22_forecast_multi_mean_var;21_forecast_uni_fixed;21_forecast_uni_var;21_forecast_uni_mean_var;21_forecast_multi_fixed;21_forecast_multi_var;21_forecast_multi_mean_var;20_forecast_uni_fixed;20_forecast_uni_var;20_forecast_uni_mean_var;20_forecast_multi_fixed;20_forecast_multi_var;20_forecast_multi_mean_var;19_forecast_uni_fixed;19_forecast_uni_var;19_forecast_multi_fixed;19_forecast_multi_var;19_forecast_multi_mean_var;18_forecast_uni_fixed;18_forecast_uni_var;18_forecast_uni_mean_var;18_forecast_multi_fixed;18_forecast_multi_var;18_forecast_multi_mean_var;17_forecast_uni_fixed;17_forecast_uni_var;17_forecast_uni_mean_var;17_forecast_multi_fixed;17_forecast_multi_var;17_forecast_multi_mean_var;16_forecast_uni_fixed;16_forecast_uni_var;16_forecast_uni_mean_var;16_forecast_multi_fixed;16_forecast_multi_var;16_forecast_multi_mean_var;15_forecast_uni_fixed;15_forecast_uni_var;15_forecast_uni_mean_var;15_forecast_multi_var;15_forecast_multi_mean_var;14_forecast_uni_fixed;14_forecast_uni_var;13_forecast_uni_fixed;13_forecast_uni_var;13_forecast_uni_mean_var;13_forecast_multi_var;13_forecast_multi_mean_var;14_forecast_multi_fixed;14_forecast_multi_mean_var;14_forecast_multi_var;14_forecast_uni_mean_var
2018(1);2018-01-01;11718355598;662,826;132,12;23;662,826;132,12;662,826;132,12;662,826;132,12;662,826;132,12;661,148295;130,9709825;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,1844223;0,023176535;10,753;-3,65;10,753;-3,65;10,753;-3,65;10,753;-3,65;10,753;-3,65;9,075295;-4,799017537;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,03075075;-0,044852294;-0,051544556;-0,056639211;-0,070619983;-0,069523386;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(2);2018-02-01;10555550874;663,311;129,95;18;663,311;129,95;663,311;129,95;663,311;129,95;663,311;129,95;663,7928882;134,3317051;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,07991771;-0,104504596;5,452;-2,17;5,452;-2,17;5,452;-2,17;5,452;-2,17;5,452;-2,17;5,93388818;3,360722618;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,06031637;-0,058529738;-0,045319891;-0,057947444;-0,065013287;-0,061115025;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(3);2018-03-01;10511071630;667,524;141,57;21;667,524;141,57;667,524;141,57;667,524;141,57;667,524;141,57;666,4480597;142,8122965;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,07569498;-0,004222728;4,698;11,62;4,698;11,62;4,698;11,62;4,698;11,62;4,698;11,62;5,299764733;8,480591376;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,020189134;0,021315101;0,012794891;0,016425589;0,018066056;0,013675098;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(4);2018-04-01;11475965435;671,327;139,08;21;671,327;139,08;671,327;139,08;671,327;139,08;671,327;139,08;668,7139831;137,5137236;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,16352072;0,087825744;8,016;-2,49;8,016;-2,49;8,016;-2,49;8,016;-2,49;8,016;-2,49;4,921094956;-5,298572863;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,034035635;0,042121748;0,049754726;0,054886003;0,059762371;0,055840097;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(5);2018-05-01;11081345887;680,579;132,29;21;680,579;132,29;680,579;132,29;680,579;132,29;680,579;132,29;670,5195109;140,3630131;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,12852898;-0,034991742;13,055;-6,79;13,055;-6,79;13,055;-6,79;13,055;-6,79;13,055;-6,79;4,071451158;2,849289479;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,002943982;-0,019520063;-0,021608573;-0,02301909;-0,017863963;-0,022189755;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(6);2018-06-01;10761981309;693,287;136,96;21;693,287;136,96;693,287;136,96;693,287;136,96;693,287;136,96;672,3969655;136,8690133;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,09928551;-0,02924347;21,96;4,67;21,96;4,67;21,96;4,67;21,96;4,67;21,96;4,67;3,682982385;-3,493999738;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,014101793;0,01355391;0,020353362;0,028253654;0,029310891;0,02074914;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(7);2018-07-01;11462216151;696,8;141,07;21;696,8;141,07;696,8;141,07;696,8;141,07;696,8;141,07;674,0107182;142,2530682;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,16232191;0,0630364;16,221;4,11;16,221;4,11;16,221;4,11;16,221;4,11;16,221;4,11;3,491207348;5,384054908;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,000769054;0,007719969;-0,002759771;-0,009621611;-0,004543234;-0,012593529;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(8);2018-08-01;11574145377;701,677;143,43;23;701,677;143,43;701,677;143,43;701,677;143,43;701,677;143,43;675,8979482;144,6382571;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,1720396;0,00971769;8,39;2,36;8,39;2,36;8,39;2,36;8,39;2,36;8,39;2,36;3,500982728;2,385188872;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,016607611;0,006791689;0,024936609;0,029824322;0,032929078;0,028852472;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(9);2018-09-01;11570676832;712,373;135,78;20;712,373;135,78;712,373;135,78;712,373;135,78;712,373;135,78;678,60154;138,5281446;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,17173988;-0,000299725;15,573;-7,65;15,573;-7,65;15,573;-7,65;15,573;-7,65;15,573;-7,65;4,590821804;-6,11011247;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,034931827;0,045252227;0,034246094;0,013313947;0,019890594;0,014021457;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(10);2018-10-01;11762024640;718,684;139,86;22;718,684;139,86;718,684;139,86;718,684;139,86;718,684;139,86;681,5195267;141,9824887;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,18814193;0,016402053;17,007;4,08;17,007;4,08;17,007;4,08;17,007;4,08;17,007;4,08;5,621578415;3,454344087;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,01994266;0,009389409;0,019985626;0,033537042;0,038591278;0,031061201;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(11);2018-11-01;11501356472;715,166;137,67;20;715,166;137,67;715,166;137,67;715,166;137,67;715,166;137,67;684,6545165;141,2916558;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,16573082;-0,022411108;2,793;-2,19;2,793;-2,19;2,793;-2,19;2,793;-2,19;2,793;-2,19;6,052976445;-0,690832915;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,005599426;0,013159832;-0,003744255;-0,008396575;-0,004858329;-0,006912649;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2018(12);2018-12-01;11967867023;707,441;136,34;20;707,441;136,34;707,441;136,34;707,441;136,34;707,441;136,34;687,3931346;137,0638855;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,20549115;0,039760328;-11,243;-1,33;-11,243;-1,33;-11,243;-1,33;-11,243;-1,33;-11,243;-1,33;5,873607889;-4,227770362;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,071181629;0,05236613;0,06719546;0,055485371;0,051286583;0,056879323;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(1);2019-01-01;12366848957;707,488;133,57;22;707,488;133,57;707,488;133,57;707,488;133,57;709,563323;134,1389467;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,23828526;0,032794111;-7,678;-2,77;-7,678;-2,77;-7,678;-2,77;-7,678;-2,77;-5,602677;-2,201053325;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,041495197;-0,061034238;-0,057691731;-0,075657961;-0,06653536;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(2);2019-02-01;11265979240;713,747;133,92;20;713,747;133,92;713,747;133,92;713,747;133,92;712,117751;134,1111917;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,14505333;-0,093231924;6,306;0,35;6,306;0,35;6,306;0,35;6,306;0,35;4,676750963;-0,027754929;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,076814775;-0,05129902;-0,033448332;-0,051985201;-0,038649099;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(3);2019-03-01;11309998289;722,707;139,04;20;722,707;139,04;722,707;139,04;722,707;139,04;714,6813749;144,0681216;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,14895298;0,003899641;15,219;5,12;15,219;5,12;15,219;5,12;15,219;5,12;5,118051866;9,956929835;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,02698983;0,014229164;-0,009900023;0,001734365;-0,015911462;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(4);2019-04-01;12016958191;729,346;139,7;21;729,346;139,7;729,346;139,7;729,346;139,7;716,9683553;140,9128318;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,20958467;0,060631696;15,599;0,66;15,599;0,66;15,599;0,66;15,599;0,66;4,850604303;-3,155289796;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,043196683;0,042659287;0,063974667;0,075998888;0,06404185;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(5);2019-05-01;11733622425;732,595;139,41;22;732,595;139,41;732,595;139,41;732,595;139,41;719,1192603;138,3506783;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,18572427;-0,023860403;9,888;-0,29;9,888;-0,29;9,888;-0,29;9,888;-0,29;4,437885465;-2,562153484;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,001040353;-0,014955526;0,003498465;0,009421758;0,00225297;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(6);2019-06-01;11387443318;738,421;135,12;19;738,421;135,12;738,421;135,12;738,421;135,12;721,34853;139,2747399;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,15577712;-0,029947147;9,075;-4,29;9,075;-4,29;9,075;-4,29;9,075;-4,29;4,380174773;0,924061616;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,006380589;0,007235617;-0,017536583;-0,020338967;-0,019899343;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(7);2019-07-01;11770991486;741,346;143,15;23;741,346;143,15;741,346;143,15;741,346;143,15;723,2961711;144,7749353;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,18890399;0,033126871;8,751;8,03;8,751;8,03;8,751;8,03;8,751;8,03;4,176910738;5,500195342;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,004907013;0,006380136;0,024934081;0,027515126;0,020821133;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(8);2019-08-01;11784031575;736,402;141,95;22;736,402;141,95;736,402;141,95;736,402;141,95;725,4660596;145,7490944;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,1900112;0,001107203;-2,019;-1,2;-2,019;-1,2;-2,019;-1,2;-2,019;-1,2;4,117529544;0,974159167;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,014616855;0,028425545;0,011010728;0,013086053;0,012461058;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(9);2019-09-01;12147385372;736,362;138,33;21;736,362;138,33;736,362;138,33;736,362;138,33;728,4404704;141,1035303;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,22037979;0,030368592;-4,984;-3,62;-4,984;-3,62;-4,984;-3,62;-4,984;-3,62;5,144299357;-4,645564106;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,032331073;0,021376077;0,032906869;0,040856326;0,036525062;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(10);2019-10-01;12517176555;741,333;142,94;23;741,333;142,94;741,333;142,94;741,333;142,94;731,4270764;143,8096751;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,25036766;0,029987875;4,931;4,61;4,931;4,61;4,931;4,61;4,931;4,61;5,961016773;2,706144745;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,024128755;0,023029655;0,045333944;0,049553818;0,046957836;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(11);2019-11-01;12574528195;743,558;138,88;20;743,558;138,88;743,558;138,88;743,558;138,88;734,4259274;141,5512379;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,25493903;0,004571371;7,196;-4,06;7,196;-4,06;7,196;-4,06;7,196;-4,06;5,985456942;-2,258437117;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,009168333;0,004052488;-0,012820773;-0,002722469;-0,01429654;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2019(12);2019-12-01;13146256506;759,112;137,43;21;759,112;137,43;759,112;137,43;759,112;137,43;737,3636311;140,097447;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,29940288;0,044463846;17,779;-1,45;17,779;-1,45;17,779;-1,45;17,779;-1,45;5,936554723;-1,453790956;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,06180658;0,058415931;0,062144436;0,053072203;0,057937892;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
